,Unnamed: 0,State,District,Name,Party,Incumbent,Winner,Vote_Percentage,Raised,Spent,MaxSpentPer
239,239,GA,12,Liz Johnson,D,1,False,41.6,72061.0,72061.0,False
240,240,GA,13,David Scott,D,1,True,77.4,1209614.0,1131746.0,True
241,241,GA,13,Becky Hites,R,1,False,22.6,63509.0,62935.0,False
242,242,GA,14,Marjorie Taylor Greene,R,1,True,74.8,2596914.0,2237599.0,True
243,243,HI,1,Ed Case,D,1,False,64.7,508249.0,472569.0,True
244,244,HI,1,Ron Curtis,R,1,False,25.1,12538.0,12647.0,False
245,245,HI,2,Kai Kahele,D,1,True,57.9,1235523.0,1039637.0,True
246,246,HI,2,Joe Akana,R,1,False,28.3,54534.0,55344.0,False
247,247,ID,1,Russ Fulcher,R,1,True,67.8,575485.0,508457.0,True
248,248,ID,1,Rudy Soto,D,1,False,28.7,302902.0,302902.0,False
249,249,ID,2,Mike Simpson,R,1,True,64.1,1008847.0,1099604.0,True
250,250,ID,2,Aaron Swisher,D,1,False,31.7,70674.0,70268.0,False
251,251,IL,1,Bobby Rush,D,1,True,73.8,541435.0,496454.0,True
252,252,IL,1,Philanise White,R,1,False,26.2,6289.0,5048.0,False
253,253,IL,2,Robin Kelly,D,1,True,78.8,1634783.0,1108137.0,True
254,254,IL,3,Marie Newman,D,1,True,56.4,2802093.0,2699323.0,True
255,255,IL,3,Mike Fricilone,R,1,False,43.6,128458.0,127980.0,False
256,256,IL,4,Jesus Garcia,D,1,True,16.0,822846.0,711159.0,True
257,257,IL,4,Jesus Solorio Jr,R,1,False,84.0,2065.0,843.0,False
258,258,IL,5,Mike Quigley,D,1,True,70.8,1171507.0,926655.0,True
259,259,IL,6,Sean Casten,D,1,True,52.8,5582179.0,5313570.0,True
260,260,IL,6,Jeanne Ives,R,1,False,45.4,3157771.0,3135464.0,False
261,261,IL,7,Danny K Davis,D,1,True,80.4,544690.0,505506.0,True
262,262,IL,8,Raja Krishnamoorthi,D,1,True,73.2,6358878.0,2207703.0,True
263,263,IL,9,Jan Schakowsky,D,1,True,71.0,1834801.0,1514838.0,True
264,264,IL,9,Sargis Sangari,R,1,False,29.0,35364.0,34715.0,False
265,265,IL,10,Brad Schneider,D,1,True,63.8,3459512.0,2873333.0,True
266,266,IL,10,Valerie Ramirez Mukherjee,R,1,False,36.2,130225.0,64764.0,False
267,267,IL,11,Bill Foster,D,1,True,63.3,2381354.0,1823906.0,True
268,268,IL,11,Rick Laib,R,1,False,36.7,20343.0,20064.0,False
269,269,IL,12,Mike Bost,R,1,True,60.6,1918041.0,1509573.0,True
270,270,IL,12,Ray Lenzi,D,1,False,39.4,161324.0,104809.0,False
271,271,IL,13,Rodney Davis,R,1,True,54.4,4943459.0,4822600.0,False
272,272,IL,13,Betsy Dirksen Londrigan,D,1,False,45.6,5297007.0,5281880.0,True
273,273,IL,14,Lauren A Underwood,D,1,True,50.7,7803579.0,7301503.0,True
274,274,IL,14,Jim Oberweis,R,1,False,49.3,2438857.0,2348798.0,False
275,275,IL,15,Mary Miller,R,1,True,73.5,689057.0,570356.0,True
276,276,IL,15,Erika Weaver,D,1,False,26.5,58689.0,23349.0,False
277,277,IL,16,Adam Kinzinger,R,1,True,64.8,2105736.0,1588550.0,True
278,278,IL,16,Dani Brzozowski,D,1,False,35.2,459344.0,376167.0,False
279,279,IL,17,Cheri Bustos,D,1,True,52.0,4975192.0,6391009.0,True
280,280,IL,17,Esther Joy King,R,1,False,48.0,2032878.0,2030587.0,False
281,281,IN,1,Frank Mrvan Jr,D,1,True,56.6,578635.0,464407.0,True
282,282,IN,1,Mark Leyva,R,1,False,40.4,16551.0,15343.0,False
283,283,IN,2,Jackie Walorski,R,1,True,61.5,2383467.0,1698202.0,True
284,284,IN,2,Pat Hackett,D,1,False,38.5,881888.0,867301.0,False
285,285,IN,3,Jim Banks,R,1,True,67.8,1202509.0,769591.0,True
286,286,IN,3,Chip Coldiron,D,1,False,32.2,94056.0,89883.0,False
287,287,IN,4,Jim Baird,R,1,True,66.6,327727.0,190158.0,True
288,288,IN,4,Joe Mackey,D,1,False,33.4,44585.0,43213.0,False
289,289,IN,5,Christina Hale,D,1,False,45.9,4010368.0,3998905.0,True
290,290,IN,5,Victoria Spartz,R,1,True,50.0,3119328.0,3010203.0,False
