,State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent
158,DE,01,Lisa Blunt Rochester,D,True,True,57.6,"$2,024,201","$1,305,618"
159,DE,01,Lee Murphy,R,False,False,40.2,"$131,394","$131,862"
160,DE,01,Catherine Purcell,I,False,False,1.4,"$5,344","$5,103"
161,FL,01,Matt Gaetz,R,True,True,64.6,"$5,946,646","$4,482,782"
162,FL,01,Phil Ehr,D,False,False,34.0,"$2,025,099","$1,900,451"
163,FL,01,Bert Oram,I,False,False,1.4,"$8,108","$7,070"
164,FL,02,Neal Dunn,R,True,True,98.0,"$653,488","$637,580"
165,FL,03,Kat Cammack,R,False,True,57.1,"$1,122,188","$1,090,334"
166,FL,03,Adam Christensen,D,False,False,42.9,"$216,021","$219,108"
167,FL,04,John Rutherford,R,True,True,61.1,"$1,024,912","$1,283,701"
168,FL,04,Donna Deegan,D,False,False,38.9,"$1,013,157","$1,013,157"
169,FL,05,Al Lawson,D,True,True,65.1,"$848,498","$695,779"
170,FL,05,Gary Adler,R,False,False,34.9,"$146,909","$146,909"
171,FL,06,Michael Waltz,R,True,True,60.6,"$2,549,667","$1,716,768"
172,FL,06,Clint Curtis,D,False,False,39.4,"$24,310","$22,251"
173,FL,07,Stephanie Murphy,D,True,True,55.3,"$3,124,692","$1,798,549"
174,FL,07,Leo Valentin,R,False,False,43.2,"$1,045,426","$1,031,316"
175,FL,07,Bill Garlington,I,False,False,1.4,"$11,000",$0
176,FL,08,Bill Posey,R,True,True,61.4,"$985,268","$1,121,834"
177,FL,08,James Kennedy,D,False,False,38.6,"$138,568","$138,790"
178,FL,09,Darren Soto,D,True,True,56.0,"$1,111,750","$945,868"
179,FL,09,William Olson,R,False,False,44.0,"$404,406","$401,088"
180,FL,10,Val Demings,D,True,True,63.6,"$1,876,047","$1,191,020"
181,FL,10,Vennia Francois,R,False,False,36.4,"$335,480","$332,852"
182,FL,11,Daniel Webster,R,True,True,66.7,"$691,261","$586,965"
183,FL,11,Dana Cottrell,D,False,False,33.3,"$62,658","$62,380"
184,FL,12,Gus Bilirakis,R,True,True,62.9,"$1,604,137","$1,548,634"
185,FL,12,Kim Walker,D,False,False,37.1,"$42,802","$33,544"
186,FL,13,Charlie Crist,D,True,True,53.0,"$2,720,646","$3,980,695"
187,FL,13,Anna Paulina Luna,R,False,False,47.0,"$3,302,944","$3,262,236"
188,FL,14,Kathy Castor,D,True,True,60.3,"$884,651","$1,201,653"
189,FL,14,Christine Quinn,R,False,False,39.7,"$242,144","$241,187"
190,FL,15,Alan Cohn,D,False,False,44.6,"$2,333,053","$2,300,197"
191,FL,15,Scott Franklin,R,False,True,55.4,"$1,663,898","$1,638,417"
192,FL,16,Vernon Buchanan,R,True,True,55.5,"$3,094,611","$3,100,766"
193,FL,16,Margaret Good,D,False,False,44.5,"$3,411,924","$3,407,845"
194,FL,17,Greg Steube,R,True,True,64.6,"$759,908","$621,200"
195,FL,17,Allen Ellison,D,False,False,34.1,"$83,481","$78,243"
196,FL,18,Brian Mast,R,True,True,56.4,"$6,128,177","$5,301,307"
197,FL,18,Pam Keith,D,False,False,41.5,"$1,639,873","$1,632,736"
198,FL,19,Byron Donalds,R,False,True,61.3,"$3,219,579","$2,738,685"
199,FL,19,Cindy Banyai,D,False,False,38.7,"$214,750","$203,430"
200,FL,20,Alcee Hastings,D,True,True,78.7,"$607,649","$543,316"
201,FL,20,Greg Musselwhite,R,False,False,21.3,"$28,955","$27,538"
202,FL,21,Lois Frankel,D,True,True,59.0,"$1,534,882","$1,309,786"
203,FL,21,Laura Loomer,R,False,False,39.1,"$2,271,604","$2,240,689"
204,FL,21,Charleston Malkemus,I,False,False,1.9,"$28,928","$28,636"
205,FL,22,Ted Deutch,D,True,True,58.6,"$1,364,438","$1,265,494"
206,FL,22,Jim Pruden,R,False,False,41.4,"$278,416","$278,416"
207,FL,23,Debbie Wasserman Schultz,D,True,True,58.2,"$2,191,922","$1,979,903"
208,FL,23,Carla Spalding,R,False,False,41.8,"$919,579","$903,561"
209,FL,24,Frederica Wilson,D,True,True,75.6,"$412,592","$321,019"
