State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent,Max Raised Candidate,Max Spent Candidate,Money_Difference
IN,1,Frank Mrvan Jr,D,False,True,56.6,578635.0,464407.0,True,True,114228.0
IN,2,Jackie Walorski,R,True,True,61.5,2383467.0,1698202.0,True,True,685265.0
IN,3,Jim Banks,R,True,True,67.8,1202509.0,769591.0,True,True,432918.0
IN,4,Jim Baird,R,True,True,66.6,327727.0,190158.0,True,True,137569.0
IN,5,Victoria Spartz,R,False,True,50.0,3119328.0,3010203.0,False,False,109125.0
IN,6,Greg Pence,R,True,True,68.7,3114448.0,2804148.0,True,True,310300.0
IN,7,Andre Carson,D,True,True,62.4,1011635.0,873962.0,True,True,137673.0
IN,8,Larry Bucshon,R,True,True,66.9,1051336.0,1078646.0,True,True,-27310.0
IN,9,Trey Hollingsworth,R,True,True,60.9,1166754.0,501136.0,True,True,665618.0
IA,1,Ashley Hinson,R,False,True,51.3,5175883.0,5059211.0,False,False,116672.0
IA,2,Mariannette Miller-Meeks,R,False,True,50.0,2174194.0,1721926.0,False,False,452268.0
IA,3,Cindy Axne,D,True,True,49.0,6236976.0,6236994.0,True,True,-18.0
IA,4,Randy Feenstra,R,False,True,37.9,1906234.0,1894288.0,False,False,11946.0
KS,1,Tracey Mann,R,False,True,71.4,1403353.0,1127156.0,True,True,276197.0
KS,2,Jake Laturner,R,False,True,55.3,1593407.0,1578460.0,False,False,14947.0
KS,3,Sharice Davids,D,True,True,53.4,5638552.0,5168034.0,True,True,470518.0
KS,4,Ron Estes,R,True,True,64.0,1993808.0,1420188.0,True,True,573620.0
KY,1,James Comer,R,True,True,75.0,736116.0,502554.0,True,True,233562.0
KY,2,Brett Guthrie,R,True,True,71.0,1412797.0,1566622.0,True,True,-153825.0
KY,3,John Yarmuth,D,True,True,62.7,658295.0,690226.0,True,True,-31931.0
KY,4,Thomas Massie,R,True,True,67.1,1457316.0,1563275.0,True,True,-105959.0
KY,5,Hal Rogers,R,True,True,84.2,664168.0,835781.0,True,True,-171613.0
KY,6,Andy Barr,R,True,True,57.3,4536264.0,4316239.0,True,True,220025.0
LA,1,Steve Scalise,R,True,True,72.2,37262827.0,32830607.0,True,True,4432220.0
LA,2,Cedric Richmond,D,True,True,63.6,1628289.0,1302079.0,True,True,326210.0
