State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent
AR,3,Steve Womack,R,True,True,64.3,1127158.0,923120.0
AR,3,Celeste Williams,D,False,False,31.8,355294.0,355294.0
AR,4,Bruce Westerman,R,True,True,69.7,1407770.0,1102573.0
AR,4,William Hanson,D,False,False,27.5,109767.0,111683.0
CA,1,Doug LaMalfa,R,True,True,56.9,1219556.0,1155945.0
CA,1,Audrey Denney,D,False,False,43.1,2461769.0,2457661.0
CA,2,Jared Huffman,D,True,True,75.7,899419.0,797753.0
CA,2,Dale Mensing,R,False,False,24.3,5921.0,2197.0
CA,3,John Garamendi,D,True,True,54.7,1054066.0,667320.0
CA,3,Tamika Hamilton,R,False,False,45.3,397099.0,384584.0
CA,4,Tom McClintock,R,True,True,55.9,2053363.0,2107248.0
CA,4,Brynne Kennedy,D,False,False,44.1,3006020.0,3002532.0
CA,5,Mike Thompson,D,True,True,76.8,2208136.0,2022751.0
CA,6,Doris Matsui,D,True,True,73.4,1019605.0,1073529.0
CA,6,Chris Bish,R,False,False,26.6,44772.0,44554.0
CA,7,Ami Bera,D,True,True,56.6,1757748.0,1053444.0
CA,7,Buzz Patterson,R,False,False,43.4,43876.0,29614.0
CA,8,Jay Obernolte,R,False,True,56.1,1861647.0,1792064.0
CA,8,Chris Bubser,D,False,False,43.9,1858001.0,1856613.0
CA,9,Jerry McNerney,D,True,True,57.6,1177959.0,1112543.0
CA,9,Tony Amador,R,False,False,42.4,52175.0,52175.0
CA,10,Josh Harder,D,True,True,55.2,7400135.0,3950613.0
CA,10,Ted Howze,R,False,False,44.8,1426552.0,1721882.0
CA,11,Mark Desaulnier,D,True,True,73.0,610394.0,440537.0
CA,11,Nisha Sharma,R,False,False,27.0,174954.0,171870.0
CA,12,Nancy Pelosi,D,True,True,77.6,27359508.0,22064953.0
CA,12,Shahid Buttar,D,False,False,22.4,1672876.0,1650467.0
CA,13,Barbara Lee,D,True,True,90.4,1828213.0,1750142.0
CA,13,Nikka Piterman,R,False,False,9.6,9839.0,9904.0
CA,14,Jackie Speier,D,True,True,79.3,942934.0,919599.0
CA,15,Eric Swalwell,D,True,True,70.9,2807774.0,3977839.0
CA,16,Jim Costa,D,True,True,59.3,2135525.0,1835244.0
CA,16,Kevin Cookingham,R,False,False,40.7,265364.0,265364.0
CA,17,Ro Khanna,D,True,True,71.3,3837982.0,2455457.0
CA,17,Ritesh Tandon,R,False,False,28.7,175536.0,175015.0
CA,18,Anna Eshoo,D,True,True,63.2,2114909.0,2059158.0
CA,18,Rishi Kumar,D,False,False,36.8,674383.0,691938.0
CA,19,Zoe Lofgren,D,True,True,71.7,1755555.0,1731700.0
CA,19,Justin Aguilera,R,False,False,28.3,9112.0,11542.0
CA,20,Jimmy Panetta,D,True,True,76.8,2009894.0,1592671.0
CA,20,Jeff Gorman,R,False,False,23.2,67634.0,64947.0
CA,21,TJ Cox,D,True,False,49.6,5695157.0,5694005.0
CA,21,David Valadao,R,False,True,50.4,4067880.0,3982587.0
CA,22,Devin Nunes,R,True,True,54.2,26825212.0,20156093.0
CA,22,Phil Arballo,D,False,False,45.8,5091451.0,5062185.0
CA,23,Kevin McCarthy,R,True,True,62.1,27780644.0,24265583.0
